STORE,CITY,STATE,ZIP,MSA_NAME,MSA_POP,LATITUDE,LONGITUDE,LONGITUDE_CORR,MSA_INCOME,MSA_HIGH,MSA_BACH
1203,COLUMBIA,MO,65203,COLUMBIA,162314,38.925204,92.36887,-92.36887,31309,91.1,50.5
2304,ANTIOCH,TN,37013,NASHVILLE-MURFREESBORO-FRANKLIN,1521437,36.055115,86.64782,-86.64782,36445,81.4,26.9
7107,HOUSTON,TX,77070,HOUSTON-SUGAR LAND-BAYTOWN,5628101,29.978801,95.57655,-95.57655,39052,76.4,26.5
7707,SUGAR LAND,TX,77479,HOUSTON-SUGAR LAND-BAYTOWN,5628101,29.573345,95.63213,-95.63213,39052,76.4,26.5
4502,TALLAHASSEE,FL,32303,TALLAHASSEE,352319,30.486061,84.31528,-84.31528,29026,85.9,36.7
3707,VICTORIA,TX,77904,VICTORIA,113797,28.873664,97.00715,-97.00715,29624,76.2,16.2
5304,FLORENCE,AL,35630,FLORENCE-MUSCLE SHOALS,143149,34.817537,87.66253,-87.66253,25894,75.2,16.8
2904,KNOXVILLE,TN,37924,KNOXVILLE,681525,36.029987,83.80705,-83.80705,31238,79.6,23.5
9504,NORMAN,OK,73072,OKLAHOMA CITY,1192989,35.212681,97.48672,-97.48672,31630,83.6,24.4
3502,DAYTONA BEACH,FL,32114,DELTONA-DAYTONA BEACH-ORMOND BEACH,500413,29.204009,81.03602,-81.03602,27211,82.5,18
7303,CANTON,OH,44718,CANTON-MASSILLON,407180,40.850683,81.43773,-81.43773,29141,83.2,17.3
807,RICHARDSON,TX,75081,DALLAS-FORT WORTH-ARLINGTON,6145037,32.948974,96.70916,-96.70916,37075,79.9,28.4
7602,ALBANY,GA,31707,ALBANY,113264,31.568073,84.22644,-84.22644,24865,75.2,17.7
1509,TUCSON,AZ,85705,TUCSON,967089,32.260316,110.98534,-110.98534,28481,83.4,26.7
5803,FRANKLIN,OH,45005,CINCINNATI-MIDDLETOWN,2133678,39.550241,84.3087,-84.3087,35618,82.9,26.4
7703,TOLEDO,OH,43614,TOLEDO,650955,41.60135,83.62611,-83.62611,31429,84.1,21.6
2102,ORLANDO,FL,32809,ORLANDO-KISSIMMEE,2032496,28.463482,81.38814,-81.38814,31112,82.8,24.8
907,DENTON,TX,76205,DALLAS-FORT WORTH-ARLINGTON,6145037,33.16156,97.10376,-97.10376,37075,79.9,28.4
2502,OCOEE,FL,34761,ORLANDO-KISSIMMEE,2032496,28.574628,81.52946,-81.52946,31112,82.8,24.8
8002,BATON ROUGE,LA,70815,BATON ROUGE,770037,30.45514,91.06358,-91.06358,29702,81.9,24.9
6903,ELYRIA,OH,44035,CLEVELAND-ELYRIA-MENTOR,2096471,41.369846,82.10874,-82.10874,35542,82.9,23.3
2607,LAREDO,TX,78041,LAREDO,233152,27.542244,99.49233,-99.49233,18770,53,13.9
1004,MEMPHIS,TN,38117,MEMPHIS,1280533,35.112929,89.90389,-89.90389,33880,80.1,24.1
6904,WILMINGTON,NC,28403,WILMINGTON,339511,34.221512,77.88452,-77.88452,28584,83.7,26.1
1104,MEMPHIS,TN,38133,MEMPHIS,1280533,35.208709,89.80518,-89.80518,33880,80.1,24.1
4207,WICHITA FALLS,TX,76308,WICHITA FALLS,148148,33.859798,98.54064,-98.54064,30125,80,19.7
7604,RICHMOND,VA,23233,RICHMOND,1212977,37.622465,77.61965,-77.61965,37169,82.6,29.2
3604,ALEXANDRIA,LA,71301,ALEXANDRIA,149837,31.294532,92.46015,-92.46015,29813,74.6,16.5
902,LAKELAND,FL,33809,LAKELAND,574746,28.128494,81.95625,-81.95625,27938,74.8,14.9
4209,LAS VEGAS,NV,89107,LAS VEGAS-PARADISE,1836333,36.171219,115.21682,-115.21682,34890,79.4,17.2
502,ST PETERSBURG,FL,33710,TAMPA-ST. PETERSBURG-CLEARWATER,2723949,27.788637,82.72244,-82.72244,33008,81.5,21.7
107,HURST,TX,76053,DALLAS-FORT WORTH-ARLINGTON,6145037,32.821378,97.181,-97.181,37075,79.9,28.4
5404,DECATUR,AL,35601,DECATUR,149279,34.595332,86.98786,-86.98786,28984,73.8,15.8
4303,OMAHA,NE,68144,OMAHA-COUNCIL BLUFFS,829890,41.235248,96.11505,-96.11505,37373,86,28.7
8407,LAKE JACKSON,TX,77566,HOUSTON-SUGAR LAND-BAYTOWN,5628101,29.036879,95.44103,-95.44103,39052,76.4,26.5
7004,NORFOLK,VA,23510,VIRGINIA BEACH-NEWPORT NEWS,1658754,36.852547,76.29028,-76.29028,33316,84.8,23.9
5102,FT. LAUDERDALE,FL,33304,MIAMI-FORT LAUDERDALE-POMPANO BEACH,5413212,26.137693,80.12646,-80.12646,36293,73.9,22.9
1909,SIERRA VISTA,AZ,85635,AZ NONMETROPOLITAN AREA,41908,31.562546,110.24288,-110.24288,38427,91.5,25.7
5903,RICHMOND,IN,47374,IN NONMETROPOLITAN AREA,39124,39.831061,84.89067,-84.89067,39124,74.6,13.8
5604,HUNTSVILLE,AL,35806,HUNTSVILLE,386632,34.748066,86.68317,-86.68317,33119,83.3,30.9
4704,HIGH POINT,NC,27262,GREENSBORO-HIGH POINT,698497,35.964586,80.02239,-80.02239,30909,78.6,22.9
8803,LEXINGTON,KY,40504,LEXINGTON-FAYETTE,447173,38.039322,84.54259,-84.54259,33821,85.8,35.6
8507,TEXAS CITY,TX,77591,HOUSTON-SUGAR LAND-BAYTOWN,5628101,29.389583,94.99167,-94.99167,39052,76.4,26.5
8302,KENNER,LA,70065,NEW ORLEANS-METAIRIE-KENNER,1030363,30.022853,90.25133,-90.25133,20722,77.7,22.6
3003,WICHITA,KS,67207,WICHITA,596452,37.669803,97.23289,-97.23289,33368,83.8,25.3
2204,GOODLETTSVILLE,TN,37072,NASHVILLE-MURFREESBORO-FRANKLIN,1521437,36.35465,86.71879,-86.71879,36445,81.4,26.9
1707,DALLAS,TX,75237,DALLAS-FORT WORTH-ARLINGTON,6145037,32.666984,96.87633,-96.87633,37075,79.9,28.4
