Municipality,State,Pop2000,LandArea2000,PopDensity2000,Pop1990,PopChange,,
Bellflower,California,"72,878",6.1,"11,999","61,815",17.90%,,
Berkeley,California,"102,743",10.5,"9,823","102,724",0.00%,,
Buena Park,California,"78,282",10.6,"7,403","68,784",13.80%,,
Burbank,California,"100,316",17.3,"5,782","93,643",7.10%,,
Camarillo,California,"57,077",18.9,"3,015","52,303",9.10%,,
Carlsbad,California,"78,247",37.4,"2,090","63,126",24.00%,,
Carson,California,"89,730",18.8,"4,762","83,995",6.80%,,
Cerritos,California,"51,488",8.6,"5,974","53,240",-3.30%,,
Chico,California,"59,954",27.7,"2,161","40,079",49.60%,,
Chino,California,"67,168",21.1,"3,190","59,682",12.50%,,
Chino Hills,California,"66,787",44.8,"1,490","27,608",141.90%,,
Chula Vista,California,"173,556",48.9,"3,551","135,163",28.40%,,
Citrus Heights,California,"85,071",14.3,"5,929","107,439",-20.80%,,
Clovis,California,"68,468",17.1,"4,000","50,323",36.10%,,
Compton,California,"93,493",10.1,"9,225","90,454",3.40%,,
Concord CA,California,"121,780",30.1,"4,041","111,348",9.40%,,
Corona,California,"124,966",35.1,"3,555","76,095",64.20%,,
Costa Mesa,California,"108,724",15.6,"6,956","96,357",12.80%,,
Cupertino,California,"50,546",10.9,"4,620","40,263",25.50%,,
Daly,California,"103,621",7.6,"13,703","92,311",12.30%,,
Davis,California,"60,308",10.5,"5,769","46,209",30.50%,,
Diamond Bar,California,"56,287",14.8,"3,813","53,672",4.90%,,
Downey,California,"107,323",12.4,"8,641","91,444",17.40%,,
El Cajon,California,"94,869",14.6,"6,510","88,693",7.00%,,
El Monte,California,"115,965",9.6,"12,139","106,209",9.20%,,
Encinitas,California,"58,014",19.1,"3,035","55,386",4.70%,,
Escondido,California,"133,559",36.3,"3,681","108,635",22.90%,,
Fairfield,California,"96,178",37.7,"2,554","77,211",24.60%,,
Folsom,California,"51,884",21.7,"2,387","29,802",74.10%,,
Fontana,California,"128,929",36.1,"3,570","87,535",47.30%,,
Fountain Valley,California,"54,978",8.9,"6,167","53,691",2.40%,,
Fremont,California,"203,413",76.7,"2,652","173,339",17.30%,,
Fresno,California,"427,652",104.4,"4,097","354,202",20.70%,,
Fullerton,California,"126,003",22.2,"5,676","114,144",10.40%,,
Garden Grove,California,"165,196",18,"9,165","143,050",15.50%,,
Gardena,California,"57,746",5.8,"9,921","49,847",15.80%,,
Glendale CA,California,"194,973",30.6,"6,362","180,038",8.30%,,
Hawthorne,California,"84,112",6.1,"13,878","71,349",17.90%,,
Hayward,California,"140,030",44.3,"3,158","111,498",25.60%,,
Hemet,California,"58,812",25.6,"2,294","36,094",62.90%,,
Hesperia,California,"62,582",67.4,929,"50,418",24.10%,,
Huntington Beach,California,"189,594",26.4,"7,183","181,519",4.40%,,
Huntington Park,California,"61,348",3,"20,251","56,065",9.40%,,
Inglewood,California,"112,580",9.1,"12,323","109,602",2.70%,,
Irvine,California,"143,072",46.2,"3,098","110,330",29.70%,,
La Habra,California,"58,974",7.3,"8,045","51,266",15.00%,,
La Mesa,California,"54,749",9.3,"5,909","52,931",3.40%,,
Laguna Niguel,California,"61,891",14.7,"4,221","44,400",39.40%,,
Lake Forest,California,"58,707",12.5,"4,698","62,685",-6.30%,,
Lakewood CA,California,"79,345",9.4,"8,414","73,557",7.90%,,
Lancaster CA,California,"118,718",94,"1,263","97,291",22.00%,,
Livermore,California,"73,345",23.9,"3,066","56,741",29.30%,,
Lodi,California,"56,999",12.2,"4,658","51,874",9.90%,,
Long Beach,California,"461,522",50.4,"9,149","429,433",7.50%,,
Los Angeles,California,"3,694,820",469.1,"7,876","3,485,398",6.00%,,
Lynwood,California,"69,845",4.9,"14,388","61,945",12.80%,,
Merced,California,"63,893",19.9,"3,216","56,216",13.70%,,
Milpitas,California,"62,698",13.6,"4,623","50,686",23.70%,,
Mission Viejo,California,"93,102",18.7,"4,990","72,820",27.90%,,
Modesto,California,"188,856",35.8,"5,277","164,730",14.60%,,
Montebello,California,"62,150",8.2,"7,536","59,564",4.30%,,
Monterey Park,California,"60,051",7.6,"7,869","60,738",-1.10%,,
Moreno Valley,California,"142,381",51.2,"2,779","118,779",19.90%,,
Mountain View,California,"70,708",12.1,"5,861","67,460",4.80%,,
Napa,California,"72,585",17.7,"4,101","61,842",17.40%,,
National,California,"54,260",7.4,"7,343","54,249",0.00%,,
Newport Beach,California,"70,032",14.8,"4,738","66,643",5.10%,,
Norwalk CA,California,"103,298",9.7,"10,667","94,279",9.60%,,
Oakland,California,"399,484",56.1,"7,126","372,242",7.30%,,
Oceanside,California,"161,029",40.6,"3,967","128,398",25.40%,,
Ontario,California,"158,007",49.8,"3,174","133,179",18.60%,,
Orange,California,"128,821",23.4,"5,506","110,658",16.40%,,
Oxnard,California,"170,358",25.3,"6,729","142,216",19.80%,,
Palmdale,California,"116,670",105,"1,111","68,842",69.50%,,
Palo Alto,California,"58,598",23.7,"2,475","55,900",4.80%,,
Paramount,California,"55,266",4.7,"11,678","47,669",15.90%,,
Pasadena CA,California,"133,936",23.1,"5,798","131,591",1.80%,,
Petaluma,California,"54,548",13.8,"3,953","43,184",26.30%,,
Pico Rivera,California,"63,428",8.3,"7,645","59,177",7.20%,,
Pittsburg,California,"56,769",15.6,"3,639","47,564",19.40%,,
Pleasanton,California,"63,654",21.7,"2,938","50,553",25.90%,,
Pomona,California,"149,473",22.8,"6,544","131,723",13.50%,,
Rancho Cucamonga,California,"127,743",37.4,"3,411","101,409",26.00%,,
Redding,California,"80,865",58.4,"1,384","66,462",21.70%,,
Redlands,California,"63,591",35.5,"1,793","60,394",5.30%,,
Redondo Beach,California,"63,261",6.3,"10,065","60,167",5.10%,,
Redwood,California,"75,402",19.5,"3,871","66,072",14.10%,,
Rialto,California,"91,873",21.9,"4,200","72,388",26.90%,,
Richmond CA,California,"99,216",30,"3,309","87,425",13.50%,,
Riverside,California,"255,166",78.1,"3,267","226,505",12.70%,,
Rosemead,California,"53,505",5.1,"10,398","51,638",3.60%,,
Roseville,California,"79,921",30.5,"2,622","44,685",78.90%,,
Sacramento,California,"407,018",97.2,"4,189","369,365",10.20%,,
Salinas,California,"151,060",19,"7,948","108,777",38.90%,,
San Bernardino,California,"185,401",58.8,"3,152","164,164",12.90%,,
San Buenaventura (Ventura),California,"100,916",21.1,"4,790","92,575",9.00%,,
San Diego,California,"1,223,400",324.4,"3,772","1,110,549",10.20%,,
San Francisco,California,"776,733",46.7,"16,633","723,959",7.30%,,
San Jose,California,"894,943",174.9,"5,118","782,248",14.40%,,
San Leandro,California,"79,452",13.1,"6,053","68,223",16.50%,,
San Marcos,California,"54,977",23.8,"2,314","38,974",41.10%,,
San Mateo,California,"92,482",12.2,"7,569","85,486",8.20%,,
San Rafael,California,"56,063",16.6,"3,379","48,404",15.80%,,
Santa Ana,California,"337,977",27.1,"12,451","293,742",15.10%,,
Santa Barbara,California,"92,325",19,"4,865","85,571",7.90%,,
Santa Clara,California,"102,361",18.4,"5,566","93,613",9.30%,,
Santa Clarita,California,"151,088",47.8,"3,159","110,642",36.60%,,
Santa Cruz,California,"54,593",12.5,"4,356","49,040",11.30%,,
Santa Maria,California,"77,423",19.3,"4,006","61,284",26.30%,,
Santa Monica,California,"84,084",8.3,"10,178","86,905",-3.20%,,
Santa Rosa,California,"147,595",40.1,"3,678","113,313",30.30%,,
Santee,California,"52,975",16.1,"3,299","52,902",0.10%,,
Simi Valley,California,"111,351",39.2,"2,842","100,217",11.10%,,
South Gate,California,"96,375",7.4,"13,084","86,284",11.70%,,
South San Francisco,California,"60,552",9,"6,712","54,312",11.50%,,
Stockton,California,"243,771",54.7,"4,455","210,943",15.60%,,
Sunnyvale,California,"131,760",21.9,"6,006","117,229",12.40%,,
Temecula,California,"57,716",26.3,"2,198","27,099",113.00%,,
Thousand Oaks,California,"117,005",54.9,"2,133","104,352",12.10%,,
Torrance,California,"137,946",20.5,"6,715","133,107",3.60%,,
Tracy,California,"56,929",21,"2,711","33,558",69.60%,,
Turlock,California,"55,810",13.3,"4,194","42,198",32.30%,,
Tustin,California,"67,504",11.4,"5,921","50,689",33.20%,,
Union CA,California,"66,869",19.3,"3,473","53,762",24.40%,,
Upland,California,"68,393",15.1,"4,524","63,374",7.90%,,
Vacaville,California,"88,625",27.1,"3,272","71,479",24.00%,,
Vallejo,California,"116,760",30.2,"3,868","109,199",6.90%,,
Victorville,California,"64,029",72.8,880,"40,674",57.40%,,
Visalia,California,"91,565",28.6,"3,204","75,636",21.10%,,
Vista,California,"89,857",18.7,"4,810","71,872",25.00%,,
Walnut Creek,California,"64,296",19.9,"3,229","60,569",6.20%,,
West Covina,California,"105,080",16.1,"6,524","96,086",9.40%,,
Westminster CA,California,"88,207",10.1,"8,724","78,118",12.90%,,
Whittier,California,"83,680",14.6,"5,719","77,671",7.70%,,
Yorba Linda,California,"58,918",19.4,"3,042","52,422",12.40%,,
Arvada,Colorado,"102,153",32.7,"3,128","89,235",14.50%,,
Aurora CO,Colorado,"276,393",142.5,"1,939","222,103",24.40%,,
Boulder,Colorado,"94,673",24.4,"3,884","83,312",13.60%,,
Colorado Springs,Colorado,"360,890",185.8,"1,943","281,140",28.40%,,
Denver,Colorado,"554,636",153.4,"3,617","467,610",18.60%,,
Fort Collins,Colorado,"118,652",46.5,"2,549","87,758",35.20%,,
Greeley,Colorado,"76,930",29.9,"2,572","60,536",27.10%,,
Lakewood CO,Colorado,"144,126",41.6,"3,465","126,481",14.00%,,
Longmont,Colorado,"71,093",21.8,"3,262","51,555",37.90%,,
Loveland,Colorado,"50,608",24.6,"2,060","37,352",35.50%,,
Pueblo,Colorado,"102,121",45.1,"2,265","98,640",3.50%,,
Thornton,Colorado,"82,384",26.9,"3,067","55,031",49.70%,,
Westminster CO,Colorado,"100,940",31.5,"3,204","74,625",35.30%,,
Bridgeport,Connecticut,"139,529",16,"8,720","141,686",-1.50%,,
Bristol,Connecticut,"60,062",26.5,"2,266","60,640",-1.00%,,
Danbury,Connecticut,"74,848",42.1,"1,777","65,585",14.10%,,
Hartford,Connecticut,"121,578",17.3,"7,025","139,739",-13.00%,,
Meriden,Connecticut,"58,244",23.7,"2,453","59,479",-2.10%,,
Milford,Connecticut,"50,594",22.3,"2,271","48,168",5.00%,,
New Britain,Connecticut,"71,538",13.3,"5,364","75,491",-5.20%,,
New Haven,Connecticut,"123,626",18.9,"6,558","130,474",-5.20%,,
Norwalk CT,Connecticut,"82,951",22.8,"3,637","78,331",5.90%,,
Stamford,Connecticut,"117,083",37.7,"3,102","108,056",8.40%,,
Waterbury,Connecticut,"107,271",28.6,"3,754","108,961",-1.60%,,
West Haven,Connecticut,"52,360",10.8,"4,832","54,021",-3.10%,,
Washington,DC,"572,059",61.4,"9,316","606,900",-5.70%,,
Wilmington DE,Delaware,"72,664",10.8,"6,698","71,529",1.60%,,
Boca Raton,Florida,"74,764",27.2,"2,750","61,492",21.60%,,
Boynton Beach,Florida,"60,389",15.9,"3,803","46,194",30.70%,,
Cape Coral,Florida,"102,286",105.2,972,"74,991",36.40%,,
Clearwater,Florida,"108,787",25.3,"4,302","98,784",10.10%,,
Coral Springs,Florida,"117,549",23.9,"4,916","79,443",48.00%,,
Davie,Florida,"75,720",33.4,"2,265","47,217",60.40%,,
Daytona Beach,Florida,"64,112",58.7,"1,093","61,921",3.50%,,
Deerfield Beach,Florida,"64,583",13.4,"4,810","46,325",39.40%,,
Delray Beach,Florida,"60,020",15.4,"3,905","47,181",27.20%,,
